,amount,LDKfee,LDKdly,LDKpthlnt,LDKtp,Eclair_case1fee,Eclair_case1dly,Eclair_case1pthlnt,Eclair_case1tp,CLNfee,CLNdly,CLNpthlnt,CLNtp,Eclair_case2fee,Eclair_case2dly,Eclair_case2pthlnt,Eclair_case2tp,Eclair_case3fee,Eclair_case3dly,Eclair_case3pthlnt,Eclair_case3tp,LNDfee,LNDdly,LNDpthlnt,LNDtp
3191,1,2.0004999999999997,120,4,Success,2.0004999999999997,120,4,Success,2.0004999999999997,120,4,Success,2.0004999999999997,120,4,Success,2.0001100000000003,310,9,Success,2.0004999999999997,120,4,Success
3192,174,2.0031,154,5,Success,3.0005300000000004,120,4,Failure,3.0005300000000004,120,4,Failure,3.0005300000000004,120,4,Failure,2.0005300000000004,190,6,Failure,3.0005300000000004,120,4,Failure
3193,47928,2.9793000000000003,160,5,Failure,2.9793000000000003,160,5,Failure,169.82291999999998,224,4,Failure,2.9793000000000003,160,5,Failure,2.28858,240,7,Failure,169.82291999999998,224,4,Failure
3194,119,1.39568,154,5,Success,1.3835,160,5,Success,1.3835,160,5,Success,1.3835,160,5,Success,1.0046499999999998,354,10,Success,1.3835,160,5,Success
3195,39773,3.4772700000000003,184,6,Success,8.295620000000001,264,5,Success,121.39878,120,4,Failure,8.295620000000001,264,5,Success,4.35797,178,6,Success,121.39878,120,4,Success
3197,43,0.07714,292,6,Success,0.01008,254,5,Success,0.01008,254,5,Success,0.01008,254,5,Success,0.01008,254,5,Success,0.01008,254,5,Success
3198,873,2.43213,406,9,Success,3.009,344,7,Success,3.009,344,7,Success,3.009,344,7,Success,2.00174,410,8,Success,3.009,344,7,Success
3199,1,1.00004,160,5,Success,1.00004,160,5,Success,1.00004,160,5,Success,1.00004,160,5,Success,1.0,342,10,Success,1.00004,160,5,Success
3200,80,1.48184,258,5,Success,1.4808000000000001,296,5,Success,1.48184,258,5,Success,1.4808000000000001,296,5,Success,1.4808000000000001,370,7,Success,1.4808000000000001,296,5,Success
3201,398,2.3940200000000003,258,5,Success,2.1944,258,5,Success,2.1944,258,5,Success,2.1944,258,5,Success,2.1944,258,5,Success,2.1944,258,5,Success
3202,97,1.3173000000000001,298,6,Success,1.3065900000000001,264,5,Success,1.3065900000000001,264,5,Success,1.3065900000000001,264,5,Success,1.2941,408,6,Success,1.3065900000000001,264,5,Success
3203,2,3.25031,120,4,Success,3.25031,120,4,Success,3.25031,120,4,Success,3.25031,120,4,Success,3.25031,120,4,Success,3.25031,120,4,Success
3204,631,1.0412299999999999,292,6,Success,1.1581299999999999,132,5,Success,2.66321,224,4,Success,1.1581299999999999,132,5,Success,1.00742,358,9,Success,2.66321,224,4,Success
3205,2209,2.03073,304,6,Success,2.03073,304,6,Success,2.03073,304,6,Success,2.03073,304,6,Success,2.03073,304,6,Success,2.03073,304,6,Success
3206,20783,2.04156,80,3,Success,2.04156,80,3,Success,2.04156,80,3,Success,2.04156,80,3,Success,1.52057,344,10,Success,2.04156,80,3,Success
3207,23,7.01154,252,8,Success,8.014389999999999,196,7,Success,8.014389999999999,196,7,Success,8.014389999999999,196,7,Success,7.006480000000001,368,11,Success,8.009039999999999,218,7,Success
3208,56,1.01126,264,5,Success,1.01126,264,5,Success,1.01126,264,5,Success,1.01126,264,5,Success,1.00012,334,7,Success,1.01126,264,5,Success
3209,31,1.18671,258,5,Success,1.18637,264,5,Success,1.18637,264,5,Success,1.18637,264,5,Success,1.18637,264,5,Success,1.18631,296,5,Success
3210,8925,2.18743,264,5,Failure,2.18743,264,5,Failure,2.18743,264,5,Failure,2.18743,264,5,Failure,2.1071,294,6,Failure,2.18743,264,5,Failure
3211,4,1.0,328,4,Success,1.0,328,4,Success,1.0,328,4,Success,1.0,328,4,Success,1.0,328,4,Success,1.0,328,4,Success
3212,115,3.0581199999999997,224,4,Success,3.0581199999999997,224,4,Success,3.0581199999999997,224,4,Success,3.0581199999999997,224,4,Success,3.0581199999999997,224,4,Success,3.0581199999999997,224,4,Success
3213,1897,2.51328,264,5,Success,2.51328,264,5,Success,2.51328,264,5,Success,2.51328,264,5,Success,1.00949,414,9,Success,2.51328,264,5,Success
